bulan,short,medium,premium,total,m2m,y2y
Januari 25,Jan,12775,13296,13056,1.22,-3.34
Februari 25,Feb,12910,13412,13171,0.88,-9.70
Maret 25,Mar,12988,13451,13233,0.48,-8.17
April 25,Apr,12618,13126,12888,-2.61,-1.50
Mei 25,Mei,12747,13146,12948,0.46,6.02
Juni 25,Jun,12965,13431,13195,1.90,6.07
Juli 25,Jul,13173,13776,13463,2.03,5.77
